k [cm^{-1}],P [AU]
0.242726,20391.8,
0.242513,23373.1,
0.252627,26489.3,
0.267826,31419.2,
0.277869,37265.2,
0.298239,43702.6,
0.318645,50099.6,
0.333896,57430.8,
0.369907,60119.7,
0.400959,55532.9,
0.421772,49011.4,
0.437448,42765.1,
0.442833,36890.0,
0.463699,31465.9,
0.479429,26534.9,
0.495105,23153.1,
0.505609,20432.5,
0.510976,17827.1,
0.516343,15553.8,
0.521657,14041.4,
0.532232,11840.5,
0.547926,10214.6,
0.563585,9014.74,
0.579350,7431.11,
0.595008,6558.18,
0.610649,5853.98,
0.631498,5050.35,
0.657412,4612.12,
0.693654,4164.62,
0.740134,3935.83,
0.791733,3805.32,
0.843332,3679.14,
0.884586,3638.68,
0.941286,3640.24,
0.987660,3683.17,
1.04427,3900.31,
1.08019,4321.78,
1.11613,4734.65,
1.14690,5246.07,
1.16738,5746.56,
1.19296,6513.49,
1.22369,7383.06,
1.24411,8368.07,
1.27486,9377.99,
1.31077,10510.2,
1.34667,11779.1,
1.39301,12192.2,
1.44463,11654.6,
1.48601,10644.5,
1.50677,9720.49,
1.53789,8579.64,
1.55865,7834.85,
1.57429,6993.57,
1.59505,6386.47,
1.61069,5700.71,
1.63664,5088.98,
1.67297,4341.24,
1.71961,3703.66,
1.76104,3269.23,
1.81792,2919.10,
1.88502,2759.17,
1.95723,2668.10,
2.03973,2639.58,
2.10677,2581.54,
2.17380,2553.65,
2.24594,2584.27,
2.28714,2644.54,
2.31286,2736.84,
2.32822,2930.42,
2.34358,3137.69,
2.35885,3556.17,
2.36898,3984.73,
2.38420,4672.89,
2.39929,5933.90,
2.41445,7200.15,
2.43994,8638.51,
2.45508,10601.8,
2.47546,12433.2,
2.48564,13464.3,
2.50105,13933.2,
2.51653,13777.3,
2.53205,13316.8,
2.54762,12440.0,
2.56847,10732.2,
2.58422,8948.06,
2.60528,6735.04,
2.63160,4735.20,
2.65783,3523.94,
2.68904,2938.45,
2.72015,2623.23,
2.73570,2478.54,
2.75637,2395.79,
2.78733,2342.47,
2.84405,2316.98,
2.91108,2291.95,
2.97293,2293.03,
2.99355,2293.38,
